rateContent,appendComment_content
收到宝贝后自己安装的，用了几天，感觉效果还不错，就是在逆光下效果不是很理想。,
可以,
就是没送后视镜支架降压线，看宝贝小巧玲珑是正品 还没安装，用段时间再评,
还可以&hellip;&hellip;做活动买的&hellip;&hellip;,
记录仪收到了   开机试了一下录像挺清楚   物流也挺快的,
挺好的，功能挺多,
一般，电源插头线有些松,
稳定，好用,
只是不很好支持我的64GTF卡。其余的，这机应该没问题。,
清晰度很高的，很满意，价格实惠，掌柜服务很满意,
看起来还不错的，也怪清楚，好不好用，用一段时间再来追评，快递挺快的,
质量不错，很清晰。,
亮度还可以，就是车牌看不清楚。.,
挺清晰的，还不错，再用段时间再来追评。,
宝贝不错！是同事给的链接单位里好多人都买了呢！昨天到了就试了！现在这社会必须用行车记录仪，这款值得推荐,
还可以！,
此用户没有填写评论!,千万不要在这家买东西，这家的产品质量很差。我的记录仪收到以后储存卡就是坏的联系了客服给重新换了一张，说好了寄回去的运费由卖家承担，但是收到新卡后一直没有给我退运费，本来想十几块钱就算了但没成想记录仪用了两个月就白屏了，联系客服两三天才给答复说是只能维修不能换新机，还要自己承担寄回旧机器的运费，对他家我也真是无语了。买个行车记录仪接二连三的出问题，产品质量真是太差了。
白天效果没的说，夜视效果比之前的产品要好些，但是不要有太高期望，目前行业都这样。只测试了1080p，还可以，没有测2k，不知道2k动态效果怎么样。还有车道偏离预警，前车预警，但目前不够智能，比如并线或跟前车稍微近点就报警，比较烦，所以把这功能关闭了，毕竟不是原车的功能，不能连接转向灯和ABS来判断。外观是金属的，比较重，很有质感，但如果单靠吸盘可能经常会容易掉，所以还是九头蛇支架靠谱，或者吸盘上粘双面胶。客服也很豪爽，4年前的DM650不好用了，冬天开不开，必须热了后才能打开，这次更新换代，已经有卡了，所以跟客服说送的卡不要能不能换个九头支架，结果直接送了一个，祝店家生意兴隆！,
记录仪很好，广角比我之前买的那款还要大，白天和晚上记录的都很清晰。老板赠送的后视镜加架很好用。,
第n次购买！一如既往的好！,
安霸A12不错，晚上也很清晰。比之前的f8要好很多。推荐购买。,
商家的态度真的很好，第一次寄过来的时候有点问题，反馈后立即又重新寄了一个给我，现在的这个用起来很好,
质量不错，配件送的很多。小巧，清晰度等拷贝视频后再来追评吧。,
好用,
很不错,
速度很快，货已收就迫不及待的装了，几分钟就搞定了，买了不后悔。,
好！全五分。,
此用户没有填写评论!,昨天我的记录仪出现了白屏 换不能关机 机子发烫
清晰度可以，拍照也不错,
还行!主要是发热太严重,
此用户没有填写评论!,特意使用了这么久才来才来评论的。一是产品质量特别好，清晰度高，无论是拍照还是录像。二是操作简单。从没出现过提示要格式化或者储存已满的提示。倒是前方有人与偏离道路有提示。很喜欢。卡是知名品牌&middot;，卡已满估计是设置了晚上的监控。
发货快，画面清晰，插口是大的，用下来不错,
挺清楚，行驶中拍不清车牌号码，总体还行,
充电试了一下，还行吧，还没用呢，有点小划痕，不知道是发货就有还是怎么搞的，用一段时间在评价吧,
原来那个也是凌度的，装后视镜上的玻璃撞破了换一个，清晰度可以,
东西不错，还是蛮好的，支持。,
拍起来比较清晰，不错的购物体验。,
挺好的，画面相当不错，做工小巧精致，送的礼品也很好。建议大家买带内存卡的，查了是正品内存，价格查了和市场差不多才买的。,
产品很好，卖家服务态度也很好,
好啊好啊好啊好啊好啊&hellip;&hellip;,
用上了，只能用32g的内存卡，效果有待检验，体积非常惊喜，特别小巧。,
不错,
"身边的朋友都是买这个牌子的记录仪,没见坏过,便宜实惠,送的东西多,十分满意",
今天刚装好，待后面用过再来追评！,
夜视看不清车牌。其他还好,
描述中看起来有些大，实物则比较乖巧。看了众多评述后选择了此款，使用起来比较简单，在百度的帮助下把线排好了，实际效果不好评述，因为屏有些小，看不大清，相信大家的评述。,这是白天效果，清晰度不错，满意！遇到前方车距较小、偏离轨迹时也会有警报提示音，要是语音提示就更巴适了。这个价位，有这样的效果，真心不错！
试用了几天，效果很不错，图像流畅，功能齐全，非常满意。,
刚自己装上，不会接降压线，用的点烟器取电。机子外观觉得不错，但固定到玻璃上与主机连接的卡口有些不稳当，晃悠悠的，稍一用力就脱扣，生怕会晃掉下来，录像里画面也会随着主机晃动。花了好多时间把系统时间设置好，其他还没搞懂。屏幕小，看不清正常，还没导出来电脑上看过。用几天后再看。,今天把记录仪录的文件导出来看了，静态的时候还是很清晰的，能看清两三米开外的他车牌照，动态的话就看不清了。夜间要比白天差。
感觉不错，清晰度很高，还在试用中，以后进行一步评价。,
视频很清楚，就是录音的音量有点小,
刚用目前还不知道质量怎么样，以后来评价！,
发货及时，快递迅速。遇到点小问题，老板耐心地帮着解决了。质量不错，很好！点个赞！,
货很好，摄像清楚。满分 很好下次推荐朋友来买,
东西确实不错，应该是正品，希望耐用,
收到了，物流很快，宝贝很好，质量很好,
大品牌视频录制流畅，画面清晰，安装方便，性价比高，有需要还会来的！,
很好的记录仪，很清晰，很稳定，喜欢！,
凌度的行车记录仪质量还是不错的，A12刚刚出来的时候我就想买了，看看价格高就买了凌度的F8，这次刚好有活动，不用考虑就买了，凌度的就是好 好评,
包装完好，去店里指定地方安装 服务也很好，都下班了 还在等我过去安装 最后调试 都很满意！产品 比我之前买车送的 是好多了！由于是晚上安装 没拍白天的图 效果理想之中 还算满意！ 客服耐心讲解，有问必答 很好！,
产品质量太棒了，比网上销售非常火爆的360好太多了，大光圈f1.6（360的是f2.0），4核的（360是单核）内存是1G（360没有），像素是600万，360只是多一个没有多大用的无线wifi，360记录仪和这款大品牌的机器一比较就是垃圾货,
一般,
实物与描述相符，看着质量也不错，画面清晰，安装容易，希望能好用。物流服务热情周到。,
东西已经安装好了，不错，好评,
宝贝已收到几天了，试用了下效果不错，比我之前购买的要清晰很多，有亲戚朋友需要的话我会介绍这款的。,
帮朋友买的，总体来说还行，够用,
记录仪做工很好，录像质量不错、稳定、连续，值得购买。 服务态度很好，非常满意。,
还是不错的,
好,
记录仪美观大气，画面清晰，大广角，肯定能成为广大驾驶员的好帮手。配件齐全，赠送的东西也非常实用。 服务态度好，耐心细致，考虑问题全面，解决了很多疑问。,使用方便，非常实用！
东西质量非常好，诚信的卖家。记录仪效果不错，有朋友需要可以购买。好,
物流速度很快，东西包装没有破损！收到就安装了，过了几天才评价的，图像质量不错，功能比较多，跑线也比较简单&hellip;&hellip;很方便，全五分好评&hellip;&hellip;,
很不错！,
很小巧，不占地方。用电脑看了下，还是很清楚的,
图像清楚，尤其是晚上图像值得表扬！ADAS平时用不太方便，前车预警声音太吵了，还不能调音量和警示音类型，最好能改进！其他方面满意！,
用了几天来评论，整体还是不错的，图像也较清晰，在行车中也能拍到对面车的车牌，性价比高，如果能增加连接手机功能就更不错了,
这款宝贝真的不错，发截图挺清晰的，正品还是有保障的。 客服很细心，耐心仔细回答问题,
很好，第二次购买，品质一流，清晰流畅！,
东西不错，发货神速。性价比超高。,
老板客服态度很好，产品还可以。,
用了几天还比较满意。清晰度也好,
非常满意，选了很久选定了这款机子，收到后试用了一下，很好用，操作很简单，快递也快，两天就到了，好评！！推荐！,
值得推荐！做工很好，金属质感不错，通过车顶阅读灯取电比较美观，外面裸露线较少，而且操作简单，自己动手搞定，不需要去外面安装店，当然怕麻烦可以花30块找卖家拍安装链接，另外再夸一下物流速度和店家的服务态度。,满意
刚装好，相信凌度品牌，今天去安装时发现没有降压线，因为安装点离卖家离得不远，打电话咨询后客服让我去他们公司免费拿了一根，非常感谢。安装也挺快！,
产品不错，就是使用起来发热啊，烫手,
此用户没有填写评论!,机器严重高温，不到一个月内存卡就烧坏了，真无语
暂时没发现问题，但愿不死机。以前用过A12，夜视很满意。就是有时死机，也可能是内存卡问题。,
记录仪已收到 单从外形做工看 实事求是的讲工艺还有提升空间 但是对得起价格 安装后使用了两天 感觉这款记录仪绝对是物有所值 性价比很高 虽然在此以前只使用了一只 但是相比前一个好太多了 我使用的是1080P的设置 录像清晰 不漏秒 没有卡顿的现象 没有辜负对凌度的期望 一定好评 希望能用久一些 还有就是工作中有点发热 总之这款记录仪非常值得推荐！！！ 好评 服务不错,
效果不错，才安装完，试用,
机器小巧精致，还很有份量，图像清晰，对比了好多品牌最后还是觉得凌度专业,
不赖，送的工具也不错，自己装的，拍摄画面很清晰，虽然用电视播放的，照的有点不清楚，夜市也好，推荐给朋友了，废话不说直接上图，,
和店家描述的一样好，还送了很多小礼物，比我之前买的清楚很多,
很不错的一次网上购物给的东西齐全，记录仪质量看着非常好，摄像清晰，安装方便。物流很快，卖家发货快，服务态度好。,
屏幕不是很清楚 拍摄应该还不错 安装方便,
很清晰 很满意 比之前的好太多了,
像素不好清晰度也不行 ，不值这个价钱！,
我之前用的那个行车记录仪行可以看到，两边的a柱。a|2的就差一点。但清晰度和夜视效果比之前的都好。有一个问题就是那个机器的支架，连接得不够牢，汽车行驶的时候有点抖。机器有点发烫，出现死机或奇怪的故障，大家检查一下配送的降压线，最好用原机的点烟器降压线，总体效果来说还是不错的。,
不错,
说便宜也不见得好便宜，试了一下能用，但发热快，希望使用中没什么问题,
店家发货很快，客服服务也很好。宝贝很满意，好评。,
此用户没有填写评论!,今天才发现，储存卡里面的录像还是7月4日的，这也太不靠谱了，建议还是买大牌的靠谱一些
此用户没有填写评论!,用了来评价，通过客服的耐心解答，问题一下就解决了，现在用起来挺好
不错，只是道路便道提醒系统不是语音的，还以为是哪里出故障了，建议市区道路关掉这个功能，不然会被烦死,
看着不赖，用一段时间在评价,
好评,
镜头表面有三四个斑点，用了几天没见影响。夜视功能很好。acc功能在城市里边太吵，影响开车，需要关掉。高速上可以用。,
产品还是不错的，物超所值。行车录像的质量很好，不管白天晚上。只是当停车监控功能，触发后会一直录像，不会停，不会自动关机。,
好评,
刚安完，还不会用,
还没装，希望好用。凌度值得信赖。,
图像清楚赞,目前用起很好攝像很清楚操作简单易懂五星赞。
清晰度还可以，夜间效果一般&hellip;&hellip;很近的距离能看到车牌，稍微远一点点，车牌就模糊了！总体说来，这个价格可以接受，给好评吧,
畫質很清晰，配備齊全，價格實惠！,
不错，东西很不错，特意用了几天才评价。晚上很清楚。。赞！！！,
调成不分段录像卡满就自动关机调成分段录像就好了不知道什么问题，,
特意试用一几天才来评价的，很好很清晰，快递很给力，服务也很好，介绍给朋友啦，朋友也打算买个,
不错的东东，我用了两天才来评的，值得购买。 好,
发货快包装好，与描述一个样，还没装上，用后再来追评！,
物有所值，回头客了！放心购买，是正品,
很好，有质感。但是还没有上车使用，只是试了一下。 很好，,
物美价廉，好用,
清晰度不错，就是辅助功能有点鸡肋。作为行车记录仪还是很好用的。,
什么都不行，质量也不好，放在车上的视频一点也不行,
6.18买的，非常划算，装上试过了很清晰，,
刚装上，还没怎么用，先给个好评！,
非常清晰，特别是夜间的效果很好!,
好，清楚,
刚刚收到用了在来评价,
描述的好多功能，发现并不实用，当初是冲着前车预警和轨道偏离预警买的，但却不实用。还是只能用个摄像功能。,
此用户没有填写评论!,第二次购买了，记录仪很清晰！尤其晚上，效果很满意！
不错清洗度高,
还没有装用了再来评价。,
刚刚装上，试用了一下，感觉还不错！导出的视频和录音都比较清晰！使用时有点发热，可以理解，毕竟是电子产品！ 很耐心的解答，还送了小礼物！谢谢,
记录仪美观大气，画面清晰，大广角，肯定能成为广大驾驶员的好帮手。配件齐全，赠送的东西也非常实用。 服务态度好，耐心细致，考虑问题全面，解决了很多疑问。 很好,亲，非常感谢您对凌度卡越多专卖店的凌度品牌行车记录仪的支持和肯定，凌度品牌行车记录仪，致力于为中国广大车主朋友提供各式功能齐全，性能稳定的行车记录仪而努力，我们的承诺是以更快更好的服务回馈我们的顾客，有您的支持和肯定，我们会更加努力做到更好 ，无论是从产品到服务我们都尽心尽力做到最好。如果您遇到任何问题请随时和我们联系，我们将为您 提供更专业的售后服务。我们将不断完善，用心回报每一位对本店厚爱的朋友。谢谢您的支持，祝您生 活愉快，也期待您的下次光临。凌度与您一路相随！
屏幕清晰，安装也很简单方便，服务很不错，满意,
宝贝与卖家描述的一致，小巧精致，录像比较清晰，非常满意。卖家服务态度很好。,
非常棒，好用,
用了几天没有死机现象，图像清楚，不错的产品。,
东西很好，清楚。,
好评必须的,
配件好全。该有的全都有。机器拿在手里挺有分量，按键清晰准确。我直接装在后视镜的脖子上面了，更隐蔽一些，而且离玻璃远一点，避免夏天太热造成死机一类事情的发生。,
用着还可以，看以后效果吧,
东西不错，很清晰，质量不错，感觉很高大上。希望可以用很久。,
此用户没有填写评论!,机子和吸盘架之间的卡扣不太稳。开车过程中掉下来过一次。
一般，用起来还行，卡满了，清卡不方便，功能键迟钝,
小巧方便，画质清晰，功能多，老板还送了很多东西，价格也便宜，很满意，只有一个建议，就是把说明书弄详细点，设置都是靠猜。,
产品非常好用。还送了降压线。功能没弄明白老板还耐心给我讲解。祝生意兴隆。,
东西已用，真心不错！不想改线，这款正合适！,
此用户没有填写评论!,同事推荐的，很喜欢
金属外壳，大镜头，刚收到货就迫不及待的去试了试，因为在上班，只是简单的试了下，不错，声音挺清晰的，挺好的，送的东西也不错，晚上再试试效果，可以的话推荐朋友来买,
宝贝不错，很清晰。晚上效果很好，车牌能看清。,
屏幕上能显示实时速度，拔卡后看轨迹回放，也有速度记录，很好，第一次用要充电啊,
比想象中小，希望耐用！,
很不错，视角广，还没来得及查看夜间视频。,
这个美女不太懂的 看上去很小巧精致 也是看了大家的评价认为不错～~～用用看在评价吧,
不错,
东西不错，性价比高，一次愉快的购物体验。 服务态度一流，很有耐心。,
老公说用着可以,
蛮不错的，非常好,
朋友很喜欢。下次在来。,
2年前买了一个A12，感觉很不错。这次又买了一个，新买的和原来的有一些变化，比如安装插口就不同。试用了一下，拍摄还是那么清晰，双十二有优惠，店家承诺退差价，很满意。,行车记录仪的质量非常棒，尤其是卖家的信用更是非常好，很满意。
很精巧，也很清楚，用了两天了，效果不错,
还没有安装    非常精致  正规厂家绝对的,
很好 夜间效果很棒 64G卡容量超大 使用两周了 没有死机现象 很清晰 很好的 宝贝 建议放心购买,
出现几次自动关机 偶尔不能自动录像。,经常死机 自动关机。客服态度一般般
第一次到货的记录仪有问题，发回去换了一个，更换效率还是很高的这个赞一个，希望能够耐用,
第一次花了998买了其他家品牌的记录仪，试用后马上退了。看到该款凌度A12才398，很担心便宜没好货，经过我7天使用下来，物有所值，同等速度下，阴天也很清晰，我很挑剔的哟，好了，说多了像是帮商家打广告,
不错,
服务态度不好，客服不理人,
亲测效果非常不错，要是屏幕更大就完美了，所谓的死机7天没有遇到一次，警报也很及时，对于新手来说可以先不要静音哦,
还没用，感觉不错,
不错，还没使用，等使用后，再追评一下。,
东西不错，捆绑销售有点受不了，赠品都是渣，还不是消费者出钱购买的，都扔了怪可惜。。,静电贴，固线胶全掉下来
使用了两次，屏幕关闭还是发热的厉害吓人，感觉电池能爆炸，录像的挺清楚，就是机体发热让人担忧！,
拍摄效果感觉不错！高清！还可以基本满意 拍摄效果感觉不错！高清！还可以基本满意,
测试效果不错好评！,
收获晚了，还没安装在车里放着，东西不错看着就很好，期待安装以后使用效果,
用着还行。,
发货很快，安装简单方便，很清晰！,
发货速度快，图像清晰,
不清晰，2米外看不清车牌号码，还不如手机清晰。,
不错哦！有问题卖家都能很贴心的回答！必须好评！至于功能嘛！咱是新手，就不好咱点评了！反正我是自己装的！,
宝贝收到第一时间安装，非常好，清晰度也高，老婆很喜欢。,
还行,
此用户没有填写评论!,用了两个来月，不停的出现自动关机；与店家沟通了两次，就是告诉我恢复原厂设置，关闭这个、关闭那个，我就不明白了，都需要关闭，还设置这些功能干嘛？！
外观设计不错，摄像头很大，大品牌应该不错,
此用户没有填写评论!,通过实践不好用，用几天就没有影像，伪劣产品。
还没有安装，用后在追评,用起来一般般，今天第一次死机，平时机器很烫。
此用户没有填写评论!,
读卡器已坏，颗粒感太强，没有想像的清楚，天行汇V9C的看起来服服多了，但天行汇的真的没有凌度分辨率高，另外，凌度颜色艳丽一点，天行汇偏冷色。使用三天，死机一次，自动重起两次。支架不太稳，有抖动,会死机，不吹不黑
自已买错了，要求退货，店主马上发来地址，真心体现顾客至上！！,
物流很给力，还没安装试用！等安装试用后追评！,
此用户没有填写评论!,太烫了，车内车外才20多度，手都不敢放到机子上，晚上的记录还没到电脑上看，不知道晚上的效果怎么样
东西己安装还可以吧！,
宝贝包装很大气，安装起来也很方便，像素很高,
此用户没有填写评论!,货已收到，好久了，故意用了一段时间，才来评价。用着还行，就是有点电流声。看着图像比较清晰，就是不懂hdr有什么用，特意比较了一下，感到晚上，打开还没不打开清晰。还有道路偏移提醒，和跟车距离提醒，太烦人，一直响，就关掉了，在高速上很有必要。总体来说很好。
安装比较简单自己动手就能完成，车型是2015款CRV，为了隐藏暗线没用中控导航下面明面的点烟器，而是选择走扶手箱点烟器电源线有点短，刚好差点只好从脚垫斜穿过去没法固定在副驾驶手抠下部了。  清晰度良好吧，相对速度较低时清晰度不错，相对速度较高时就很一般了。对光处理一般，夜间光处比较模糊。广角不错，同向可以看到隔2车道的车牌，路边停着的也不在话下。白天车速40左右可以看到同向车牌号，对向就很难看清。迎光时候看对向车牌效果很差，同向车牌还好。夜间开启hdr模式也一般，红绿灯读秒都模糊，但是走到十字口时变成背光后效果清晰。对了机器默认设置比较奇葩，3分钟自动关机，客服耐心解释指导设置后使用正常，目前还没网上疯传的漏秒情况，估计是新的固件版本改善了吧。  综合来说还不错，反正比我之前用的第一现场强多了，性价比也较高，对于我这种不喜欢后视镜一体机的基本首选了，360网上风评代工较多也是一般。没电子狗 包邮快递是顺丰没毛病看得出商家的诚意，客服解答也比较耐心，不过还是有部分直接复制粘贴，客流量大也可以理解如果针对买家的问题具体回答效果更好吧，在线时间较长基本都能及时回复,话啰嗦些，手机追评，也是为了给其他买家更完备的了解。比较遗憾的是电子狗和gps非一体的，加了后多两条线比较麻烦，
值得信赖的品牌！,
效果不错，感觉高大上啊,
画面清晰,
广角有点虚标，没那么宽,
今天试用了一天，晚上把视频放在电脑上看了，挺不错的！尤其是白天拍的，更清晰，足以满足日常用了！好评！,
今天装上上路用了下，很清晰，雨天也效果也不错，凌渡品牌值得信赖。,
希望好用吧，暂时没发现问题,
此用户没有填写评论!,5个月可坏了，黑屏
正品杠杠的，放心满意全5分！,
请师傅安装的，从车内保险盒接线，功能慢慢再研究，价格小贵。研究好了再看图片和追评！,到目前为止一切正常！
自己动手，很快就装好了，效果不错。,
小巧方便又好用～刚贴了车膜，吸盘不大敢吸到车上，就没拍在车上的照片，但是很小巧，很喜欢，镜头也很清晰，广角效果很好，实惠又好用，大品牌就是不一样哦！,
此用户没有填写评论!,真的很好，再次评价
货已收到，还没安装，第一感觉很好，物流也快，客服很有耐心&hellip;建议可以购买,还送了很多的小礼品哦，很实用呦
之前用的坏了，逛了很久才决定买这个，挺好的没浪费钱，看着小巧但是用着很方便，图像清楚，配件也很齐全,
没有170度，可能有110度吧,
可以，挺清晰的，把分辨率设置最高看视频会卡,
宝贝很好，摄影很清晰！安装容易，自己动手很快就装好了！明天再拍几张白天的！,
包装很好。畫質不錯，螢幕要設定定時關閉，要不金屬機身很燙,記憶卡中的檔案在電腦用media player看畫質比較差，上傳到youtube畫質超讚
东西不错，画质很清晰，视宽也不错，满意,
简单好用,
宝贝己收到，物流挺快，商家服务态度一流，物品包装很好，宝贝完好无损，由于上班没空，等双休日安装后再追加评论，先给确认。,双休日自己安装很方便，二天使用后挺满意，造型美观，做工精致，很有份量金属观很强，图像清晰，尤其过隧道图像也很清晰（见附图）。购买前在网上查询后，觉得凌度行车记录仪是性价比最高的，销量也名列前茅。今后我会推荐朋友买的。
宝贝不错，记录仪一直用的凌渡，清晰度好，操作简单方便，广角大，自带的预警也很好，就是有点太灵敏了！习惯习惯吧！,
质量不错，外观好看，做工细，配件齐全，为用户着想，可信的产品  。目前没有问题。,
一直对比凌度a12和360的安霸a12芯片，后来听朋友说两种芯片不一样，凌度的是a12a55，而360的是a12a25，360就是牌子火一点，像素达不到1440p，玩嘘头的，凌度的记录回放效果都很好，有图有真相，不忽悠咱老百姓！点个赞！,
很好用，白天，晚上都很清晰，不愧a12方案，真心推荐大家用赞?,
看着不错，用后再来评价,
货收到！试了一下还挺好！就看能不能用住了！客服不错！有问必答！,
试用了一会，发热量太大，烫手，也不知能用多长时间。清晰度尚可。 发货很快。,
比我前面一个清晰多了，低速的时候基本可以看清牌照，晚上有灯光的时候也能录的不错。对于这个价钱来说算是不错的了,
用了几天 就死机一次  感觉聚焦 不好 总体还行,
还没试用。试用好了再来追评。,
此用户没有填写评论!,
非常好，已经是第二个了！,
还可以,天气热，吸盘吸不住，联系卖家推荐买他家的吸盘，东西到了装不上，还推卸责任，如此不负责的卖家这么多年第一次碰到，真后悔买他家东西！
过年前到的，自己去快递公司拿的（快递放假了），很小巧的一个，外观不错，请同事帮忙装好了，一开始用总是三分钟就黑屏了，格式化后还是这样，因为过年所以也就没有咨询客服，上班后又咨询了几次客服调试，现在可以正常使用了,
东西不错，和视频一样清晰，客服也不错，好评啊,
物流很快，东西很小巧。很清晰尤其晚上。,
老公说还可以，就是中间用着自己主动关了一次机，希望没毛病。,
整体不错，好的方面就不说了。只能看白天慢速和晚上超慢速时候的车牌，而且距离不能太远，（保存2560*1440图片放大看的）。整体性价比可以了，比1080p的要强。就是后来发现镜头的地方有裂缝，里面有个游离的小螺丝，不影响使用，自己按上将就着用吧。如果没有裂缝的话这个性价比5分有的。,
不开机，换了一个，目前还在使用中，以后再来追评,
很清晰，操作起来很顺手，安装很方便。就是ADAS提醒功能还有待提升 客服人很好,
记录仪用了一天，清晰度不错，在这个价位应该算好的了，卖家还送了好多小礼物,
不错，影音清晰，好得很，赞赞,
没有想像中的好，毕竟第一次买，先用着看看效果如何，好的话下次再来,好评给早了，达不到预期效果，现在给的话差评。电子产品，降价太快，亲们别买了，要买看准再买
此用户没有填写评论!,用了两个月，质量很好，图像清晰，尤其老板服务耐心，一般网购从不评价，但这次不评价都有点说不过去，正好手机里保存到货时的图片，一并传了，给老板点个赞
此用户没有填写评论!,很实用
与描述的功能不符，距前车过近并不报警，偏离轨道也不报警。,
此用户没有填写评论!,买了两个，质量还可以，清晰度还挺好。卖家我挺耐心，送了不少小东西。以后还会推荐给朋友。送一些实用的最好咯总之还不错。很给力
第一次买记录仪，不知道什么牌子好，在网上查了一下说凌度的不错，本来打算买360的，可是他的像素没这个高，果然没买错，这是晚上的效果很清楚！绝对好评！,
看了好多款，一直担心夜视效果不好，对比来对比去的，拍摄效果好带电子狗的太贵，电子狗都不太准，最后选择这款，同价位的应该最好的了，非常满意,
第二次购买，用起来挺好的,
很清晰，反方向的车因为速度太快而拍不到对方车牌，接到保险丝上，不在车里搭明线，这点不错。在电脑上看效果挺好，在机器本身上看就算啦，正品与否没去验证，过段时间再买辆车装个凌度后视镜款的，哈哈。,
已收到。宝贝很好，与我先前自行拆卸搞坏的品牌和外观一个模样，但本次的外壳是全金属的，拿到手里有一种实落感。之所以继续买这个品牌和同型号的行车记录仪是因为该机型功能多，超宽视角，清晰度高，质量有保障。 服务热情，不厌其烦地给予讲解和指导。给予五星好评！,
帮朋友买的，以前买了好几台bl950，质量杠杠的，这是第一次买a12，特意使用了几天才来评价，非常满意，给个大大的赞。,
很不错的一次购物！,
目前一切都好，温度偏高，不影响使用。还另送降压线。,
已受到记录仪了，上车试了一下，清晰度还比较好，和店家描述的一样，送的礼品也一样不少，这个价格太划算了，不懂的地方卖家也耐心指导，推荐购买。,
天热它就休息了！这是硬伤、湖南来说！,
第一买这牌子的记录仪，打开后感觉不错，录像质量怎样还未看，很满意。,
挺好的，就是夏天太阳照的发热很吓人,
宝贝非常好 简约而不简单 我喜欢 走的暗线 师傅很细心 手法很熟练~,
不错哦！,
收到货了，机器包装精美，配件齐全，机器做工优良，比较小巧，经过实际测试，开机速度快，无卡顿，拍摄视频清晰，各项功能符合介绍，画面稍有点畸变。,
很清晰，感觉晚上比白天还清楚，如果有抗震功能就更加完美了！,
很好，非常不错！！,
清晰度一般 截不到车牌号,
宝贝不错，就是机器烫手。服务够贴心的。,
东西很好，非常清晰，白天晚上都清楚,用了半个月，非常理想
用了一段时间，各方面都还行，不错！唯一一点就是屏幕小了些，看着不太方便！,
很好，售后服务既快又好，顶,
还不错。,
设置方便，是我想要的，推荐大家买，画面清晰。,
录了几天，那天在交警队的电脑上看了一下视频，很清晰，只是那个只带的屏幕分辨率很低，要看图片和视频一定要电脑上看，值得购买,
此用户没有填写评论!,很好用赞赞赞赞那你在哪呢灾难性
机子不大，屏幕很清晰，做工精细，送的东西多实用，晚上效果很好，这是我想要的效果。一直想买一款晚上清楚拍摄的，终于实现了。 卖家很热情！,
很好,
清晰度可以，夜视效果很好，希望耐用吧,买来经常死机，一天死机几次，后来换货发个维修就货回来给我，旧货目前用了几天没有死机
此用户没有填写评论!,天天死机，怎么办
很好,
haihao,
非常好，精巧还清晰，的确一分钱一分货，不是便宜的东西能比拟的，而且性价比最高，值得购买，大力推荐,
感觉不错，清楚,
用的，挺好，用了好久很不错，一直用这个牌子，值得信赖,
包装很精美，质量不错，就是机身有点发烫，刚收到货，功能还未完全掌握，总之，不错，赞一个！好评！,
刚使用，过段时间再追评,
非常不错，白天特别清晰，晚上录的没顾上看了。做工不错，就是白天不能面对太阳，不然表面很热，不过用了三天还没出现死机。够用就好。,
发货很快，自己装上了，拍摄效果还没有看，看后再补评价吧 暂时全5分吧,
质量挺好的  画面清楚,
凌度A12行车记录仪确实很好，与描述的一样，性价比比较高。试用了几天，视频清晰，色彩较好，效果不错！,
不错哦，很漂亮，很清晰,用了几天了，感觉挺好用的，不错
挺好的,
还行吧,
此用户没有填写评论!,这个A12真的不咋样，动态下很难看清牌照，买此产品的朋友们最好在7天内将视频在电脑上播放后再决定退或留，不是我苛刻，不清晰的影像都是无效的证据。
好像还可以用几天再来追加,
这款行车记录仪性能还不错，拍摄足够清晰了，值得拥有！,
行车记录仪非常好，物有所值，画面非常高清,
侧键不是很人性化 功能布局和设置需要适应 优点是摄像功能,
还不错，已经推介朋友购买了,行车记录仪很小巧，清晰度不错，好评。
物品已收到，已使用，效果不错，操作也方便。相信对我以后驾车会有帮助的 卖家服务很好，发货很快，快递也很快，再次感谢店主！,
不错，发货速度快，东西不阻视线，很清楚，不卡顿。就这些来说就很满意了。赞！,大家买时先看看这里！！黑心卖家，谁买谁倒霉！晚上根本看不清，上到40时速前面的车牌就完全看不清了。白天车速60车牌看不清！好评绝对是刷出的。我为什么首条评论说好评？被逼的。有图有真相，行车中的截图时间是默认的，我没有更改，也没有拿旧图来。这也叫星光夜视？还防抖？呵呵~我笑了~~还有评论中根本没有差评或中评选项，我准备到论坛、爆料热线曝光这间店，让更多的人知道。
朋友说不错哈,
很清楚，天黑视线不好的时候大灯开着的话还是很清楚的，白天的清晰度没的说！自己装的，还凑合吧！,
收到记录仪，在家里先试用一下，效果不错?先赞?一个，待使用后追评,
此用户没有填写评论!,
东西收到了，试了一下效果和卖家描述的一样好，卖家服务态度超级好，这个必须好评，物流也给力,
用着还可以，使用期间机子发热，烫手，目前出现过一次死机。操作还好，按键不能操作过快，容易卡机，屏幕颗粒感强。拍摄角度还可以接受，影像不变形值得赞一个。服务周到,
宝贝是正品，没想到快递这么快，特意试了一下很清楚呢，选了很久才看中的这款，配置高价格也这么亲民，五星好评！,
还不错,
评价晚了宝贝不错。之前发生一点小插曲，不过客服很快解决了。,
行车记录仪非常好，物有所值，画面非常高清，夜间效果也非常好！,
宝贝收到了，刚开始不会用，卖家服务态度很好，试了好几天不错，物美价廉！,
客服的服务态度还是不错的，本来想退换，他们都表示同意，后来想想可能我对它的要求太高了，所以没有退换，给全五分好评吧！,
卖家很好，很懂技术，经过验证，此机器能满足我的需求，晚上车库里无压力。注意，要是用移动侦测的不要忘了把自动关机取消掉。,
